raceId,driverId,constructorId,number,position,grid,positionText,points,laps,status,millis,time,Fastestlap,Fastlaptime,Fastlaspeed,rank
Bahrain Grand Prix,chandhok,hrt,20,24,24,R,0,1,Accident,,,,,,
Australian Grand Prix,button,mclaren,1,1,4,1,25,58,Finished,5616531,1:33:36.531,52,1:29.291,213.804,6
Australian Grand Prix,kubica,renault,11,2,9,2,18,58,Finished,5628565,+12.034,52,1:29.570,213.138,8
Australian Grand Prix,massa,ferrari,7,3,5,3,15,58,Finished,5631019,+14.488,52,1:29.537,213.216,7
Australian Grand Prix,alonso,ferrari,8,4,3,4,12,58,Finished,5632835,+16.304,47,1:29.707,212.812,10
Australian Grand Prix,rosberg,mercedes,4,5,6,5,10,58,Finished,5633214,+16.683,53,1:28.489,215.742,2
Australian Grand Prix,hamilton,mclaren,2,6,11,6,8,58,Finished,5646429,+29.898,47,1:28.506,215.700,3
Australian Grand Prix,vettel,red_bull,1,1,1,1,25,58,Finished,5370259,1:29:30.259,44,1:29.844,212.488,4
Australian Grand Prix,hamilton,mclaren,3,2,2,2,18,58,Finished,5392556,+22.297,41,1:30.314,211.382,8
Australian Grand Prix,petrov,renault,10,3,6,3,15,58,Finished,5400819,+30.560,55,1:30.064,211.969,7
Australian Grand Prix,alonso,ferrari,5,4,5,4,12,58,Finished,5402031,+31.772,49,1:29.487,213.336,2
Australian Grand Prix,webber,red_bull,2,5,3,5,10,58,Finished,5408430,+38.171,50,1:29.600,213.066,3
Australian Grand Prix,button,mclaren,4,6,4,6,8,58,Finished,5424563,+54.304,49,1:29.883,212.396,5
Australian Grand Prix,massa,ferrari,6,7,8,7,6,58,Finished,5455445,+1:25.186,55,1:28.947,214.631,1
Australian Grand Prix,buemi,toro_rosso,18,8,10,8,4,57,+1 Lap,,,44,1:30.836,210.167,11
Australian Grand Prix,sutil,force_india,14,9,16,9,2,57,+1 Lap,,,55,1:31.526,208.583,13
Australian Grand Prix,resta,force_india,15,10,14,10,1,57,+1 Lap,,,40,1:31.941,207.641,14
Australian Grand Prix,alguersuari,toro_rosso,19,11,12,11,0,57,+1 Lap,,,41,1:30.467,211.025,10
Australian Grand Prix,heidfeld,renault,9,12,18,12,0,57,+1 Lap,,,43,1:32.377,206.661,15
Australian Grand Prix,trulli,lotus_racing,21,13,20,13,0,56,+2 Laps,,,52,1:32.550,206.275,16
Australian Grand Prix,ambrosio,virgin,25,14,22,14,0,54,+4 Laps,,,44,1:34.523,201.969,19
Australian Grand Prix,glock,virgin,24,15,21,N,0,49,+9 Laps,,,48,1:35.789,199.300,22
